id	clid
1	11
2	10
3	11
4	11
5	7
6	12
7	8
8	11
9	11
10	13
11	7
12	11
13	12
14	7
15	11
16	4
17	11
18	11
19	11
20	11
21	11
22	12
23	7
24	10
25	11
26	11
27	7
28	8
29	11
30	12
31	8
32	11
33	7
34	8
35	11
36	6
37	11
38	11
39	2
40	12
41	12
42	11
43	11
44	11
45	7
46	11
47	7
48	1
49	3
50	14
51	3
52	11
53	13
54	7
55	11
56	11
57	8
58	1
59	10
60	4
61	14
62	7
63	7
64	11
65	11
66	11
67	11
68	12
69	11
70	7
71	13
72	13
73	13
74	8
75	11
76	12
77	12
78	12
79	9
80	11
81	11
82	7
83	8
84	12
85	12
86	5
87	12
88	11
89	12
90	16
91	15
92	8
93	11
94	12
95	12
96	12
97	11
98	11
99	7
100	8
