SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
2.684400000000001,49.89300000000003,74.6091943547654,26.3,170.25199999999998,170.130679816,2,0,6,0,2,0,2,12,30,0,0,0,0,0,0,0,0,0,0,0.7,8.006731025239716,4.500887246306986,2.8793686207219675,1.6724254119287714,1.03358443228468,4.500887246306986,2.8793686207219675,1.6724254119287714,1.03358443228468,-0.79,11.21,6.891817639246214,5.955174067405255,0.0,12.073271675700152,9.53140013787187,0.0,39.53076089108528,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,9.53140013787187,0.0,0.0,0.0,45.63472727883358,0.0,12.654955790432378,0.0,0.0,5.969305287951849,4.736862953800049,4.794537184071822,0.0,0.0,0.0,32.42033623597502,12.841643245852019,6.923737199690624,0.0,6.103966387748303,0.0,0.0,0.0,5.969305287951849,10,0,0,0,0,0,0,0,0,2,0,12,9,2,0,0,0,0,6,4,2,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1564000000000005,44.7608,77.04062079137823,86.28,202.55299999999997,201.978134256,6,0,2,0,4,0,7,13,16,1,1,0,0,0,0,0,1,0,0,0.0,6.893364579451928,3.4824909200666068,2.5571341956689575,1.656845579732589,0.9410879467958669,3.104526447057379,2.149934068928351,1.3372330514719988,0.7545328394677622,-1.69,9.39841732979664,3.359310173331615,1.9093966896778856,0.0,9.846622097635342,0.0,20.228636537531145,0.0,18.19910120538483,5.022633313741326,0.0,0.0,11.374772549367124,0.0,11.600939890232516,9.846622097635342,0.0,0.0,0.0,0.0,0.0,43.4503710566573,0.0,0.0,22.97571243959964,0.0,20.228636537531145,0.0,0.0,0.0,11.600939890232516,6.06636706846161,6.06636706846161,15.912989166096953,5.022633313741326,0.0,0.0,11.374772549367124,0.0,6,0,1,0,0,0,0,2,0,4,0,13,5,2,0,3,3,0,2,12,6,0,0,2,2,5,0,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0
3.246100000000002,51.083000000000034,74.85476008612592,17.07,166.26399999999998,166.135765196,1,0,4,0,1,0,1,12,30,1,0,1,1,0,0,0,0,1,1,0.7272727272727273,7.935346027959323,5.065261132663703,3.5018741946425496,2.4065241949061775,1.6259004335723242,5.065261132663703,3.5018741946425496,2.4065241949061775,1.6259004335723242,-0.5900000000000001,9.497642418930763,5.125927043660029,2.8026982192555554,0.0,5.783244946364939,4.794537184071822,0.0,51.8694885601727,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,51.8694885601727,0.0,11.64912463690315,0.0,0.0,5.783244946364939,0.0,4.794537184071822,0.0,0.0,0.0,25.841400552376523,31.256391021773304,6.4208216229260096,0.0,0.0,5.783244946364939,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,1,0,12,5,2,0,5,0,0,4,2,1,0,0,0,0,2,5,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0
2.585,46.87200000000002,68.12814556599189,12.89,167.25799999999998,166.98634116,1,0,0,1,3,0,3,10,15,2,2,0,0,1,0,0,1,0,0,0.0,6.823000330149924,4.1701291293311105,3.7209858313108573,2.4954524254089576,1.9683782380832333,2.9064189529034263,1.9641643512762017,1.2825956784868282,0.8600477782998868,-0.54,6.188259160820243,2.251704688280161,0.9135671399846704,0.0,4.9839785209472085,0.0,0.0,0.0,28.605123954519986,0.0,10.216620634085363,0.0,0.0,0.0,23.96557502594773,0.0,0.0,4.9839785209472085,0.0,4.339655680673546,0.0,24.26546827384644,0.0,0.0,34.18219566003309,0.0,0.0,4.9839785209472085,0.0,23.96557502594773,12.13273413692322,12.13273413692322,0.0,10.216620634085363,4.339655680673546,0.0,0.0,0.0,0.0,7,0,0,0,0,2,0,0,1,0,0,10,1,0,0,5,5,0,0,1,1,0,0,0,0,1,0,0,0,6,3,0,0,0,1,1,0,0,0,0,2,1
0.8510000000000002,35.2668,48.11118451352239,52.04,108.144,108.06874825599999,2,4,0,2,2,0,2,8,16,1,1,0,0,0,0,0,1,0,0,0.0,4.464101615137754,2.398717474235544,1.6666666666666672,0.936467025586168,0.49601129057086185,2.398717474235544,1.6666666666666672,0.936467025586168,0.49601129057086185,-1.1800000000000002,4.966627565982405,1.7381205361963379,0.9041418956093399,11.46733495432437,0.0,0.0,0.0,0.0,24.26546827384644,0.0,0.0,0.0,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46733495432437,24.26546827384644,0.0,0.0,11.374772549367124,11.46733495432437,0.0,0.0,0.0,0.0,0.0,24.26546827384644,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,2,0,0,0,8,2,0,0,3,3,0,0,2,2,4,2,0,0,2,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0
3.6426000000000025,65.64680000000004,92.4555707546816,20.23,204.31300000000002,204.15141526,1,1,6,1,1,0,1,15,35,1,1,0,0,0,0,0,1,0,0,0.42857142857142855,9.446849116570453,5.718475200102517,3.828490124479195,2.4748981435869175,1.5838975682869432,5.718475200102517,3.828490124479195,2.4748981435869175,1.5838975682869432,-1.08,11.99183908045977,7.243173657230877,4.797685546874999,0.0,11.713409359353623,0.0,0.0,38.17047518309165,35.90493987237732,0.0,6.076020106833881,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,32.60702369139466,6.606881964512918,41.468391364074314,0.0,0.0,6.076020106833881,5.106527394840706,0.0,0.0,0.0,0.0,56.173235894684574,23.97819926761828,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,1,0,15,8,1,0,3,3,0,6,2,1,1,1,0,0,2,6,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0
1.2688000000000001,30.8544,42.771293816509676,26.02,93.12899999999999,93.057849224,1,2,0,1,1,0,1,7,14,1,1,0,0,0,0,0,1,0,0,0.0,3.9641016151377544,2.1993587371177727,1.4106836025229597,0.7995724914118484,0.4530389187988476,2.1993587371177727,1.4106836025229597,0.7995724914118484,0.4530389187988476,-0.9800000000000001,4.18611295681063,1.6461962159398054,0.9290591797144502,5.733667477162185,0.0,0.0,0.0,0.0,30.33183534230805,0.0,0.0,0.0,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733667477162185,30.33183534230805,0.0,0.0,5.687386274683562,5.733667477162185,0.0,0.0,0.0,0.0,18.19910120538483,12.13273413692322,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,1,0,0,0,7,1,0,0,3,3,0,0,1,1,2,1,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
1.4455,46.81090000000002,71.14118748925014,52.32,165.19199999999998,165.078978592,3,2,2,1,3,0,3,12,23,1,1,0,0,0,0,0,1,0,0,0.2222222222222222,6.910354708062404,3.7640725458859556,2.3424786483856304,1.4218177789634643,0.8336300246081277,3.7640725458859556,2.3424786483856304,1.4218177789634643,0.8336300246081277,-1.5099999999999998,8.585328884652048,3.7588733548338538,1.985036469518851,5.733667477162185,12.576187252464766,4.736862953800049,0.0,17.28172587545944,24.26546827384644,0.0,0.0,0.0,5.687386274683562,0.0,0.0,9.53140013787187,0.0,0.0,0.0,6.923737199690624,12.340549441675103,29.828919765543436,0.0,0.0,11.656691562635412,10.470530430962235,0.0,4.794537184071822,0.0,0.0,0.0,31.18920547353706,5.687386274683562,12.170333456209914,0.0,0.0,0.0,0.0,5.969305287951849,9,0,0,0,0,0,0,1,0,2,0,12,5,1,0,3,3,0,2,5,3,2,1,0,0,3,2,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0
1.5896,42.445700000000016,61.27569099157935,32.86,151.18999999999997,151.00918478,2,1,0,1,2,0,3,10,15,2,2,0,0,1,0,0,1,0,0,0.0,5.942394238613956,3.7562192858131467,2.8774824040542004,2.2487386743995885,1.6294480125370845,2.939722704885421,2.0294077079628905,1.3853720267189216,0.8995326187474075,-1.09,5.6765355505299455,1.9519932802068964,0.6749474353313213,5.559266895052008,4.3735399814164495,0.0,0.0,0.0,29.060005457918262,0.0,10.086144130933896,0.0,0.0,0.0,11.532486611566675,0.0,0.0,4.3735399814164495,0.0,0.0,0.0,34.61927235297027,0.0,0.0,21.61863074250057,0.0,9.16807716548827,0.0,0.0,0.0,23.665220748489894,12.13273413692322,0.0,10.086144130933896,0.0,0.0,0.0,5.559266895052008,0.0,7,0,0,0,0,1,0,0,1,1,0,10,0,1,0,5,5,0,0,3,2,1,1,0,0,1,0,0,0,6,3,0,0,0,1,1,0,0,0,0,2,1
2.615400000000001,63.71500000000003,103.69781152919383,52.6,242.23000000000002,242.0579088,4,0,2,0,4,0,4,18,28,2,2,0,0,0,0,0,2,0,0,0.0,9.406495853751712,5.304530452640312,3.4736324313660756,2.212024039232289,1.3203836344848499,5.304530452640312,3.4736324313660756,2.212024039232289,1.3203836344848499,-2.6199999999999988,11.853492048583622,5.63191006693438,2.946780724478822,0.0,11.938610575903699,9.775141906512223,0.0,20.715977351537635,60.6636706846161,0.0,0.0,0.0,0.0,0.0,0.0,19.364216274655867,0.0,0.0,0.0,0.0,0.0,71.7905736680101,0.0,0.0,11.938610575903699,0.0,0.0,19.364216274655867,0.0,0.0,36.39820241076966,24.26546827384644,0.0,11.126902983393991,0.0,0.0,0.0,0.0,11.938610575903699,14,0,0,0,0,0,0,0,0,4,0,18,5,2,0,6,6,0,2,8,4,0,0,0,0,2,2,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0
